210;BARITO UTARA;17
211;KOTABARU;18
212;TABALONG;18
213;TANAH BUMBU;18
214;PALANGKA RAYA;17
215;HULU SUNGAI UTARA;18
216;BALANGAN;18
217;TAPIN;18
218;HULU SUNGAI SELATAN;18
219;BANJAR;22
220;HULU SUNGAI TENGAH;18
221;BANJARBARU;18
222;TANAH LAUT;18
223;SUMENEP;19
224;BANJARMASIN;18
225;BARITO KUALA;18
226;SAMPANG;19
227;PAMEKASAN;19
228;BANGKALAN;19
229;BONDOWOSO;19
230;SITUBONDO;19
231;BANYUWANGI;19
232;LUMAJANG;19
233;JEMBER;19
234;PROBOLINGGO;19
235;TRENGGALEK;19
236;PASURUAN;19
237;BLITAR;19
238;TULUNGAGUNG;19
239;MALANG;19
240;BATU;19
241;NGANJUK;19
242;KEDIRI;19
243;PONOROGO;19
244;PACITAN;19
245;NGAWI;19
246;MAGETAN;19
247;TUBAN;19
248;MADIUN;19
249;LAMONGAN;19
250;BOJONEGORO;19
251;JOMBANG;19
252;SIDOARJO;19
253;MOJOKERTO;19
254;GRESIK;19
255;DEMAK;20
256;SURABAYA;19
257;REMBANG;20
258;KUDUS;20
259;JEPARA;20
260;PATI;20
261;BLORA;20
262;KARANGANYAR;20
263;GROBOGAN;20
264;SUKOHARJO;20
265;WONOGIRI;20
266;BOYOLALI;20
267;KLATEN;20
268;SRAGEN;20
269;WONOSOBO;20
270;MAGELANG;20
271;SURAKARTA (SOLO);20
272;TEMANGGUNG;20
273;SLEMAN;21
274;KULON PROGO;21
275;BANTUL;21
276;GUNUNG KIDUL;21
277;KEBUMEN;20
278;YOGYAKARTA;21
279;PURWOREJO;20
280;PURBALINGGA;20
281;BANJARNEGARA;20
282;CILACAP;20
283;TEGAL;20
284;BANYUMAS;20
285;BREBES;20
286;PEMALANG;20
287;KENDAL;20
288;PEKALONGAN;20
289;BATANG;20
290;SEMARANG;20
291;SALATIGA;20
292;PANGANDARAN;22
293;TASIKMALAYA;22
294;CIAMIS;22
295;KUNINGAN;22
296;CIREBON;22
297;MAJALENGKA;22
298;INDRAMAYU;22
299;SUMEDANG;22
300;GARUT;22
301;CIANJUR;22
302;SUKABUMI;22
303;CILEGON;23
304;SERANG;23
305;PANDEGLANG;23
306;LEBAK;23
307;KARAWANG;22
308;PURWAKARTA;22
309;SUBANG;22
310;BANDUNG;22
311;BANDUNG BARAT;22
312;CIMAHI;22
313;REJANG LEBONG;24
314;LEBONG;24
315;KEPAHIANG;24
316;SELUMA;24
317;KAUR;24
318;BENGKULU SELATAN;24
319;BENGKULU UTARA;24
320;MUKO MUKO;24
321;SAROLANGUN;25
322;TEBO;25
323;BENGKULU;24
324;BENGKULU TENGAH;24
325;BUNGO;25
326;MERANGIN;25
327;TANJUNG JABUNG TIMUR;25
328;SUNGAIPENUH;25
329;KERINCI;25
330;MUARO JAMBI;25
331;TANJUNG JABUNG BARAT;25
332;BATANG HARI;25
333;PESAWARAN;26
334;LAMPUNG SELATAN;26
335;LAMPUNG TENGAH;26
336;TANGGAMUS;26
337;PRINGSEWU;26
338;JAMBI;25
339;WAY KANAN;26
340;LAMPUNG BARAT;26
341;PESISIR BARAT;26
342;BANDAR LAMPUNG;26
343;TULANG BAWANG;26
344;MESUJI;26
345;TULANG BAWANG BARAT;26
346;LAMPUNG TIMUR;26
347;LAMPUNG UTARA;26
348;BANGKA SELATAN;27
349;METRO;26
350;OGAN KOMERING ULU TIMUR;28
351;PANGKAL PINANG;27
352;BANGKA;27
353;BANGKA BARAT;27
354;BELITUNG;27
355;BELITUNG TIMUR;27
356;BANGKA TENGAH;27
357;OGAN KOMERING ULU;28
358;OGAN KOMERING ULU SELATAN;28
359;MUSI RAWAS;28
360;LUBUK LINGGAU;28
361;MUARA ENIM;28
362;LAHAT;28
363;EMPAT LAWANG;28
364;PAGAR ALAM;28
365;PRABUMULIH;28
366;OGAN ILIR;28
367;BANYUASIN;28
368;OGAN KOMERING ILIR;28
369;MUSI BANYUASIN;28
370;KEPULAUAN ANAMBAS;29
371;NATUNA;29
372;LINGGA;29
373;PALEMBANG;28
374;INDRAGIRI HULU;30
375;BATAM;29
376;KUANTAN SINGINGI;30
377;KARIMUN;29
378;BINTAN;29
379;INDRAGIRI HILIR;30
380;BENGKALIS;30
381;KEPULAUAN MERANTI;30
382;SIAK;30
383;DUMAI;30
384;ROKAN HILIR;30
385;TANJUNG PINANG;29
386;KAMPAR;30
387;ROKAN HULU;30
388;SIJUNJUNG (SAWAH LUNTO SIJUNJUNG);31
389;DHARMASRAYA;31
390;SOLOK SELATAN;31
391;PEKANBARU;30
392;PELALAWAN;30
393;PAYAKUMBUH;31
394;LIMA PULUH KOTO/KOTA;31
395;PASAMAN;31
396;PASAMAN BARAT;31
397;AGAM;31
398;PADANG PANJANG;31
399;TANAH DATAR;31
400;SOLOK;31
401;SAWAH LUNTO;31
402;KEPULAUAN MENTAWAI;31
403;PARIAMAN;31
