1;1;Pedoman Pemeliharaan Peralatan Medik;videos/1. Samsul Mujakar - Pedoman Pemeliharaan Peralatan Medik.mp4;1. Samsul Mujakar - Pedoman Pemeliharaan Peralatan Medik.mp4;;20:21;100
2;2;Kejang Pada Neonatus;videos/2. Fita Asfianti - Kejang Pada Neonatus.mp4;2. Fita Asfianti - Kejang Pada Neonatus.mp4;;8:35;100
3;3;Sepsis Neonatorum;videos/3. Fita Asfianti - Sepsis Neonatorum.mp4;3. Fita Asfianti - Sepsis Neonatorum.mp4;;7:19;100
4;4;Ketuban Pecah Dini;videos/4. Suci Dwi Fatmaningrum - Ketuban Pecah Dini-1.mp4;4. Suci Dwi Fatmaningrum - Ketuban Pecah Dini-1.mp4;;6:41;100
