197;99874;JUFO KECIL;18
198;99874;KAITOK;18
199;99874;KERU;18
200;99874;KHABU;18
201;99874;KIKI;18
202;99874;KOPI;18
203;99874;MEDA;18
204;99874;SIGARE;18
205;99874;YAME;18
206;99875;ABAU;19
207;99875;AMASU (AMAZU);20
208;99875;BASMAN;21
209;99875;BIDNEU (BIDNEW);19
210;99875;BIFO;19
211;99875;BINERBIS;20
212;99875;BUSIRI;22
213;99875;EPEM;19
214;99875;FOMU;20
215;99875;HAKU;22
216;99875;HONYA;22
217;99875;IMEMBI;20
218;99875;KETA;22
219;99875;KUMABAN;21
220;99875;KUMASMA;19
221;99875;MEROKIMA;21
222;99875;MU;21
223;99875;PIER;21
224;99875;SAGIS;21
225;99875;SAMURUKIE;19
226;99875;SENGGO;19
227;99875;TAMANIM;19
228;99875;TARWA;21
229;99875;TAYAU;20
230;99875;TIAU;20
231;99875;TUGUMAU;21
232;99875;VETA;22
233;99875;WOMIN;19
234;99875;WONGGI;22
235;99875;YEMU;20
236;99881;AMAGATSU;23
237;99881;AMENDA;23
238;99881;AMURO (OMURO);23
239;99881;ARARE;23
240;99881;ATSIPIM;23
241;99881;GAIRIPIM;23
242;99881;KAIBU;23
243;99881;KAIBUSENE;23
244;99881;KASIMA;23
245;99881;KATAGE;23
246;99881;KERKE;23
247;99881;MANI;23
248;99881;OKOR (OKOOR);23
249;99881;PAGAI;23
250;99881;SEMTAIPIM (TSEMTAIPIM);23
251;99881;SOGOPHE;23
252;99881;WAROGOM;23
253;99881;WIYAGE;23
254;99881;YAGATSU;23
255;99910;HARAPAN;24
256;99910;INAOGA (INAUGA);24
257;99910;KAMORO JAYA;24
258;99910;KOPERAPOKA;24
259;99910;KWAMKI;24
260;99910;LIMAU ASRI;24
261;99910;NAWARIPI;24
262;99910;NAYARO;24
263;99910;TIMIKA JAYA;24
264;99910;WANGIRJA;24
265;99910;WONOSARI JAYA;24
266;99963;HIRIPAU;25
267;99963;KADUN JAYA;25
268;99963;KAUGAPU;25
269;99963;MWAPI;25
270;99963;PIGAPU;25
271;99963;POMAKO (PAUMAKO);25
272;99963;TIPUKA;25
273;99963;WANIA;25
274;99964;AMUNGUN;26
275;99964;ARAMSOLKI;26
276;99964;FAKAFUKU;26
277;99964;KILIARMA;26
278;99965;NOEMA (NERVA);27
279;99965;SEMPAN TIMUR;27
280;99965;SUMAPRO;27
281;99965;WAPU;27
282;99965;WENIN;27
283;99966;DILOA;28
284;99966;ENGGIN;28
285;99966;GESELAMA;28
286;99966;JILA;28
287;99966;NOEMUN;28
288;99967;ARWANDOP (ARWANOP);29
289;99967;BANIGOGOM;29
290;99967;DOLININGOKNGIN;29
291;99967;HOYA;29
292;99967;ILAGA;29
293;99967;JAGAMIN;29
294;99967;JINONI (JINONIN);29
295;99967;OPITAWAK;29
296;99967;PUTI;29
